Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
224.076823100586,C03227,M(C13)-H[-],0.00099956735601836
224.076823100586,C05651,M(C13)-H[-],0.00099956735601836
224.076823100586,C00315,M+Br[-],0.000623100585983138
224.076823100586,C00329,M+HCOO[-],0.000221899413986648
353.092972146926,C00951,M+Br81[-],0.000927853073960705
133.03348722833,C00049,M(C13)-H[-],0.000136304899996276
133.03348722833,C00402,M(C13)-H[-],0.000136304899996276
133.03348722833,C00294,M-2H[2-],0.000363695099991901
254.013152849157,C00327,M+Br[-],0.000847150843014788
215.033472058335,C07480,M+Cl[-],0.000127941664970876
215.033472058335,C13747,M+Cl[-],0.000127941664970876
211.061827297453,C02076,M(S34)-H[-],0.000696235777013499
240.086895472232,C00082,M+CH3COO[-],0.000299527768021335
240.086895472232,C16586,M+HCOO[-],0.000249527768005464
135.045585141191,C03765,M-H[-],0.000461607961000254
135.045585141191,C00601,M-H+O[-],0.00045160796099708
135.045585141191,C07086,M-H[-],0.000461607961000254
119.035011634207,C06001,M-H+O[-],7.81009769781349e-05
119.035011634207,C00937,M+HCOO[-],0.000566634206990102
119.035011634207,C00163,M+HCOO[-],0.000566634206990102
119.035011634207,C05984,M-H+O[-],7.81009769781349e-05
119.035011634207,C01089,M-H+O[-],7.81009769781349e-05
305.069234303281,C00127,M-2H[2-],0.00051077005099387
225.05200241743,C00299,M-H2O-H[-],0.000378884200017637
225.05200241743,C02067,M-H2O-H[-],0.000378884200017637
225.05200241743,C04409,M+ACN-H[-],0.000333884200017565
367.213783870781,C00427,M-H+O[-],0.00115033755099603
367.213783870781,C00584,M-H+O[-],0.00115033755099603
367.213783870781,C00696,M-H+O[-],0.00115033755099603
367.213783870781,C02198,M-H+O[-],0.00115033755099603
367.213783870781,C05956,M-H[-],0.00116033755102762
367.213783870781,C05960,M-H+O[-],0.00115033755099603
367.213783870781,C04671,M-H+O[-],0.00115033755099603
114.020115309461,C00049,M-H2O-H[-],0.000491776231001495
114.020115309461,C00048,M+ACN-H[-],0.000446776231001422
114.020115309461,C00402,M-H2O-H[-],0.000491776231001495
225.077416388711,C05581,M+CH3COO[-],0.00112138871099887
146.061763904498,C04076,M(S34)-H[-],0.000659628731995099
146.061763904498,C02946,M(S34)-H[-],0.000659628731995099
146.061763904498,C00079,M-H2O-H[-],0.000640371268019635
385.097806878674,C01081,M+ACN-H[-],6.16545559637416e-05
162.023623548477,C05823,M+ACN-H[-],0.000555015246987978
315.25327959421,C00249,M+CH3COO[-],0.000215405790015666
175.044517600078,C01042,M(C13)-H[-],0.000294066847999375
170.006201144777,C16634,M-2H[2-],0.000277611547005563
223.09709296788,C05503,M-2H[2-],0.000480565349988638
287.086619607734,C14852,M(S34)-H[-],0.00130392549596081
287.086619607734,C00214,M+HCOO[-],0.00132539226598283
287.086619607734,C00526,M+CH3COO[-],0.00127539226599538
281.034341400601,C00299,M+Cl37[-],0.00105859939895936
281.034341400601,C02067,M+Cl37[-],0.00105859939895936
281.034341400601,C11736,M+Cl[-],0.000241400600998531
281.034341400601,C12739,M+Cl[-],0.000241400600998531
248.056551481185,C00331,M+HCOO[-],0.000706481185005714
248.056551481185,C14800,M+CH3COO[-],0.000656481185018265
506.251338475078,C01246,M+ACN-H[-],0.0010994161519875
245.092338497353,C05642,M-H2O-H[-],0.000785035876958773
245.092338497353,C05660,M+ACN-H[-],0.000830035876987267
239.091925363829,C00670,M-H2O-H[-],0.000798169400951565
160.025609658433,C00940,M-H+O[-],0.000476125203022093
160.025609658433,C01044,M-H[-],0.000486125203025267
160.025609658433,C05828,M+Na-2H[-],0.000437408027011088
103.040472264745,C06001,M-H[-],0.000448731514993028
103.040472264745,C05984,M-H[-],0.000448731514993028
103.040472264745,C00246,M-H+O[-],0.000438731514989854
103.040472264745,C01089,M-H[-],0.000448731514993028
227.066675254817,C00526,M-H[-],0.000648278412995751
179.057995189023,C07480,M-H[-],0.000571655793009995
179.057995189023,C13747,M-H[-],0.000571655793009995
297.186531896537,C16677,M-H2O-H[-],0.000608363307037507
297.186531896537,C16679,M-H2O-H[-],0.000608363307037507
297.186531896537,C16680,M-H2O-H[-],0.000608363307037507
174.041164744135,C00149,M+ACN-H[-],0.000396210904995087
174.041164744135,C01042,M-H[-],0.00034121090499184
308.100157024281,C00294,M+ACN-H[-],8.84910509739711e-05
308.100157024281,C00270,M-H[-],0.00143349105098878
308.100157024281,C20934,M+ACN-H[-],0.0014884910509636
337.039599115845,C01185,M(Cl37)-H[-],0.00127558261499416
262.072123010782,C00331,M+CH3COO[-],0.000628010782008914
407.279227753045,C00695,M-H[-],0.00109578018498269
407.279227753045,C02528,M-H+O[-],0.00110578018501428
166.037655543623,C00242,M-H+O[-],0.000622010393016126
166.037655543623,C22499,M-H+O[-],0.000622010393016126
166.037655543623,C22500,M-H[-],0.0006320103930193
166.037655543623,C00300,M+Cl[-],0.000744456376992275
213.076020056889,C06459,M+HCOO[-],0.00062494311100636
262.072120511022,C00331,M+CH3COO[-],0.000625511022008141
173.104118092698,C00062,M-H[-],0.000305440532002876
173.104118092698,C00792,M-H[-],0.000305440532002876
220.098326037876,C00864,M(S34)-H[-],0.000897495353996192
151.061808789021,C00379,M-H[-],0.000585255791008876
151.061808789021,C00532,M-H[-],0.000585255791008876
151.061808789021,C00123,M+Na-2H[-],0.000238277439024159
151.061808789021,C00407,M+Na-2H[-],0.000238277439024159
184.995283844061,C16613,M(Cl37)-H[-],0.000139689169003532
224.002619942399,C01035,M+Br[-],0.000780057600991313
349.09568596434,C14874,M-H+O[-],0.00075243111001555
301.144423844104,C05298,M-H+O[-],0.000109689126020385
301.144423844104,C05300,M-H+O[-],0.000109689126020385
266.087126752852,C01132,M+HCOO[-],0.000418247147990769
266.087126752852,C00140,M+HCOO[-],0.000418247147990769
266.087126752852,C00645,M+HCOO[-],0.000418247147990769
182.013411424429,C07648,M-H+O[-],0.000822108801003196
179.055811172634,C00031,M-H[-],0.000312360595984273
179.055811172634,C00221,M-H[-],0.000312360595984273
179.055811172634,C00267,M-H[-],0.000312360595984273
179.055811172634,C01801,M+HCOO[-],0.000266172634013628
179.055811172634,C00095,M-H[-],0.000312360595984273
179.055811172634,C00159,M-H[-],0.000312360595984273
179.055811172634,C01019,M-H+O[-],0.000322360595987448
179.055811172634,C00124,M-H[-],0.000312360595984273
179.055811172634,C00137,M-H[-],0.000312360595984273
179.055811172634,C00984,M-H[-],0.000312360595984273
96.9602172869534,C00059,M-H[-],9.37537233909325e-05
96.9602172869534,C00094,M-H+O[-],8.37537233877583e-05
263.044746558122,C00526,M+Cl[-],0.00124655812197716
263.044746558122,C00647,M-H+O[-],0.00091302489198597
217.144950482136,C01571,M+HCOO[-],0.0010054821360086
227.066688630224,C00526,M-H[-],0.000634903005988008
208.065257173288,C00073,M+CH3COO[-],0.000962173288002077
260.99279266092,C00235,M-H+O[-],0.000640872309986662
260.99279266092,C00129,M-H+O[-],0.000640872309986662
552.257357936123,C05122,M+Cl37[-],0.000242063877067267
166.01902859082,C07648,M-H[-],0.000294942409993837
306.082881741016,C03410,M-H2O-H[-],0.000141792213980807
265.058116821719,C01762,M-H2O-H[-],0.000293288489046972
293.054893489447,C00647,M+HCOO[-],0.00104848944698688
182.057383892685,C07054,M+HCOO[-],0.000838892685010251
181.071495739459,C00794,M-H[-],0.000227793770989138
181.071495739459,C01697,M-H[-],0.000227793770989138
280.976058286328,C00235,M+Cl[-],0.00135828632801349
280.976058286328,C00129,M+Cl[-],0.00135828632801349
220.098246876094,C00864,M(S34)-H[-],0.000976657135993264
227.067696880438,C00526,M-H[-],0.00037334720801141
227.067696880438,C16453,M+Na-2H[-],0.000550186021996524
245.025025237617,C02985,M(Cl37)-H[-],0.000301704387027257
174.040543002459,C00149,M+ACN-H[-],0.00022553077099019
174.040543002459,C01042,M-H[-],0.000280530770993437
174.040543002459,C04281,M+HCOO[-],0.000298002459004465
174.040543002459,C02237,M+HCOO[-],0.000298002459004465
174.040543002459,C04282,M+HCOO[-],0.000298002459004465
174.040543002459,C01879,M+HCOO[-],0.000298002459004465
184.025490366993,C04409,M-H[-],0.000366833763024488
116.072281746758,C00719,M-H[-],0.000558213527995122
116.072281746758,C00183,M-H[-],0.000558213527995122
337.040132182109,C19488,M+Br81[-],0.00136781789103679
239.091528178487,C00670,M-H2O-H[-],0.00119535474294707
305.069338833023,C00127,M-2H[2-],0.000615299792968926
217.029394919376,C00031,M+Cl37[-],9.4919375982272e-05
217.029394919376,C00221,M+Cl37[-],9.4919375982272e-05
217.029394919376,C00267,M+Cl37[-],9.4919375982272e-05
217.029394919376,C00095,M+Cl37[-],9.4919375982272e-05
