Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
299.20080698375,C05490,M-HCOOH+H[1+],0.000130516979993445
299.20080698375,C05949,M-H4O2+H[1+],0.000330516980000084
299.20080698375,C16677,M-H2O+H[1+],0.000330516980000084
299.20080698375,C16679,M-H2O+H[1+],0.000330516980000084
299.20080698375,C16680,M-H2O+H[1+],0.000330516980000084
148.076169162637,C00788,M-H4O2+H[1+],0.000592695866998838
148.076169162637,C05589,M-H4O2+H[1+],0.000592695866998838
148.076169162637,C00079,M-H2O+H[1+],0.000492695866995518
148.076169162637,C00954,M-CO+H[1+],0.000592695866998838
148.076169162637,C05634,M-CO+H[1+],0.000592695866998838
148.076169162637,C05635,M-CO2+H[1+],0.000492695866995518
148.076169162637,C01233,M-HCOONa+H[1+],0.000392695866963777
148.076169162637,C16587,M-HCOOH+H[1+],0.000392695866992199
148.076169162637,C16595,M-HCOOH+H[1+],0.000392695866992199
148.076169162637,C16596,M-CO2+H[1+],0.000492695866995518
225.112664173932,C05503,M+2H[2+],0.000537707161981871
134.06019871764,C00547,M-H4O2+H[1+],0.000222250869967411
134.06019871764,C05637,M-CO+H[1+],0.000222250869995833
134.06019871764,C05639,M-CO+H[1+],0.000222250869995833
134.06019871764,C05660,M-C3H4O2+H[1+],0.000122250869992513
134.06019871764,C00314,M-H4O2+H[1+],0.000222250869967411
190.016108350068,C07648,M+Na[1+],0.000231883297999502
236.984730207742,C02380,M+HCOOK[1+],0.000453740971977368
213.075125547607,C00062,M+K[1+],0.00064908083697901
213.075125547607,C00792,M+K[1+],0.00064908083697901
200.107687701528,C05588,M(S34)+H[1+],0.000588765242014233
407.240647032891,C14772,M+HCOONa[1+],0.000270566121002958
407.240647032891,C14773,M+HCOONa[1+],0.000270566121002958
407.240647032891,C14774,M+HCOONa[1+],0.000270566121002958
407.240647032891,C14775,M+HCOONa[1+],0.000270566121002958
97.0763780175888,C00534,M-C3H4O2+H[1+],0.00030155081880423
97.0763780175888,C00077,M-H4O2+H[1+],0.000401550818793339
97.0763780175888,C05827,M-CO+H[1+],0.00040155081880755
97.0763780175888,C05828,M-CO2+H[1+],0.00030155081879002
97.0763780175888,C00515,M-H4O2+H[1+],0.000401550818793339
169.097727375347,C00534,M+H[1+],0.000550908576997244
169.097839970234,C00534,M+H[1+],0.000663503463982806
146.118007230871,C01181,M[1+],9.27691289973609e-05
146.118007230871,C01996,M[1+],9.27691289973609e-05
138.091881052201,C00483,M+H[1+],0.000504585430974203
138.091881052201,C00082,M-CO2+H[1+],0.000504585430974203
138.091881052201,C00788,M-HCOOH+H[1+],0.000504585431002624
138.091881052201,C05589,M-HCOOH+H[1+],0.000504585431002624
138.091881052201,C00079,M-CO+H[1+],0.000604585430977522
311.058570660219,C07535,M+NaCl[1+],0.00120580655101321
311.058570660219,C16615,M-HCOONa+H[1+],0.00120580655101321
311.060758047495,C03366,M+HCOONa[1+],0.000718419274960524
311.060758047495,C07535,M+NaCl[1+],0.000981580725010645
311.060758047495,C16615,M-HCOONa+H[1+],0.000981580725010645
217.158775114649,C05141,M-C3H4O2+H[1+],9.8647878957081e-05
