"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Phenylalanine metabolism","8","8","7","0.70604","3.7124e-05","0.00061087","0.0034452","0","0","0.001336464","0.02199132","0.1240272","P1","C00601;C00079;C00166;C07086;C05852;C02763;C00082"
"Tryptophan metabolism","39","33","14","3.442","0.00073641","0.0024404","0.0034636","1","0.01","0.02577435","0.085414","0.1240272","P2","C01598;C05635;C02700;C00322;C00632;C00328;C05653;C05648;C05634;C05642;C05643;C05647;C05660;C05639;C00108;C05637;C00954"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","4","0.35302","0.0010229","0.019593","0.0036411","0","0","0.0347786","0.666162","0.1240272","P3","C00166;C00079;C00082;C01179"
"Drug metabolism - cytochrome P450","21","17","6","1.8534","0.068006","0.17266","0.0057379","7","0.07","1","1","0.1893507","P4","D00195;C16608;C16595;C16587;C16596;C16591"
"Pentose and glucuronate interconversions","19","14","4","1.6768","0.23543","0.47198","0.014905","0","0","1","1","0.47696","P5","C00309;C00310;C00532;C00379;C00181;C00259;C00312"
"Glycerophospholipid metabolism","36","9","3","3.1772","0.21087","0.49951","0.016378","8","0.08","1","1","0.507718","P6","C01996;C00670;C01233"
"Vitamin B6 metabolism","9","9","3","0.7943","0.21087","0.49951","0.016378","18","0.18","1","1","0.507718","P7","C00314;C00534;C00847"
"Tyrosine metabolism","42","38","8","3.7067","0.37647","0.53654","0.018637","18","0.18","1","1","0.540473","P8","C05589;C05583;C00547;C00788;C05576;C05588;C03758;C04043;C05581;C00082;C01179;C03765;C00483;C05584;C05582;C05350;C00642"
"Arginine biosynthesis","13","10","3","1.1473","0.26365","0.5595","0.020222","16","0.16","1","1","0.566216","P9","C00062;C00437;C00077"
"Drug metabolism - other enzymes","38","19","4","3.3537","0.45827","0.69116","0.033282","7","0.07","1","1","0.898614","P10","C02380;C07648;C12650;C16615"
"Pentose phosphate pathway","23","14","3","2.0299","0.47757","0.74719","0.042048","2","0.02","1","1","1","P11","C01801;C00121;C00279"
"Lysine degradation","30","14","3","2.6477","0.47757","0.74719","0.042048","55","0.55","1","1","1","P12","C00322;C03366;C01181"
"Ubiquinone and other terpenoid-quinone biosynthesis","18","9","2","1.5886","0.50402","0.83269","0.062748","43","0.43","1","1","1","P13","C01179;C00082"
"Porphyrin metabolism","31","11","2","2.7359","0.61885","0.88793","0.085369","51","0.51","1","1","1","P14","C00931;C05791"
"Amino sugar and nucleotide sugar metabolism","42","22","3","3.7067","0.79078","0.9277","0.11189","27","0.27","1","1","1","P15","C00140;C00645;C00270;C00352;C02985;C01132"
"D-Amino acid metabolism","15","14","2","1.3238","0.7514","0.93871","0.12216","44","0.44","1","1","1","P16","C00792;C00515"
"Purine metabolism","67","32","4","5.9131","0.86032","0.94682","0.13108","23","0.23","1","1","1","P17","C03838;C04677;C00360;C00559"
"Metabolism of xenobiotics by cytochrome P450","48","27","3","4.2363","0.89361","0.96891","0.16504","51","0.51","1","1","1","P18","C19490;C07535;C19607"
"Arginine and proline metabolism","36","29","3","3.1772","0.92015","0.97804","0.18695","58","0.58","1","1","1","P19","C00062;C01137;C00077"
"Alanine, aspartate and glutamate metabolism","28","22","2","2.4711","0.92984","0.98791","0.22396","61","0.61","1","1","1","P20","C00940;C00352"
"Steroid hormone biosynthesis","74","72","6","6.5309","0.99556","0.99863","0.34776","73","0.73","1","1","1","P21","C05502;C05500;C00735;C05141;C05299;C05301;C05297;C05473;C05490;C05469;C05285;C05503"
"Arachidonic acid metabolism","41","38","2","3.6185","0.99589","0.99956","0.40476","65","0.65","1","1","1","P22","C14772;C14773;C14774;C14775;C05949"
"Fructose and mannose metabolism","18","8","1","1.5886","0.79844","1","1","27","0.27","1","1","1","P23","C02985"
"Galactose metabolism","27","17","1","2.3829","0.96753","1","1","26","0.26","1","1","1","P24","C05399"
"Steroid biosynthesis","41","32","1","3.6185","0.99854","1","1","71","0.71","1","1","1","P25","C05443;C05437;C01164;C22112;C05439;C01802"
"Primary bile acid biosynthesis","46","32","1","4.0597","0.99854","1","1","73","0.73","1","1","1","P26","C15610;C15519;C05454;C03594;C13550;C05444;C05451"
"Caffeine metabolism","11","9","1","0.97081","0.83524","1","1","24","0.24","1","1","1","P27","C07480;C13747"
"Pyrimidine metabolism","40","23","1","3.5302","0.99053","1","1","88","0.88","1","1","1","P28","C00365"
"Cysteine and methionine metabolism","33","19","1","2.9124","0.97844","1","1","85","0.85","1","1","1","P29","C01137"
"Valine, leucine and isoleucine degradation","40","15","1","3.5302","0.95118","1","1","66","0.66","1","1","1","P30","C00141"
"Valine, leucine and isoleucine biosynthesis","8","8","1","0.70604","0.79844","1","1","59","0.59","1","1","1","P31","C00141"
"Histidine metabolism","16","16","1","1.4121","0.96018","1","1","81","0.81","1","1","1","P32","C05827;C05828"
"Glutathione metabolism","28","11","1","2.4711","0.89002","1","1","71","0.71","1","1","1","P33","C00077"
"Pantothenate and CoA biosynthesis","20","14","1","1.7651","0.94016","1","1","70","0.7","1","1","1","P34","C00141"
"Lipoic acid metabolism","27","4","1","2.3829","0.54993","1","1","19","0.19","1","1","1","P35","C00322"
"Retinol metabolism","17","15","1","1.5003","0.95118","1","1","54","0.54","1","1","1","P36","C16677;C16679;C16680"
